latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.20319,63.25583,300.19,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.02,0.53,N
39.18631,63.34778,301.83,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.36,0.43,N
39.15697,63.4675,304.3,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.38,1.39,N
39.17307,63.28237,298.85,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,288.79,0.73,N
39.17218,63.28721,310.28,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.81,1.13,N
39.16727,63.25512,307.42,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,290.76,1.12,N
39.16638,63.25995,311.46,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,290.44,1.12,N
39.15567,63.31798,304.15,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.14,0.69,N
39.12988,63.41795,303.59,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,289.17,0.86,N
39.12829,63.30968,308.7,0.42,0.38,2025-09-03,2153,N,nominal,2.0NRT,288.69,0.86,N
39.12759,63.30772,314.88,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,290.1,1.13,N
39.11544,63.33475,321.39,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,291.16,2.43,N
38.93991,64.13637,304.98,0.45,0.39,2025-09-03,2153,N,nominal,2.0NRT,291.13,0.72,N
38.54999,65.9474,319.33,0.54,0.42,2025-09-03,2153,N,nominal,2.0NRT,291.64,2.85,N
38.9367,63.82278,301.92,0.44,0.39,2025-09-03,2153,N,nominal,2.0NRT,289.51,0.37,N
38.97362,63.4691,304.36,0.43,0.38,2025-09-03,2153,N,nominal,2.0NRT,290.48,0.81,N
38.87154,63.79988,298.94,0.44,0.39,2025-09-03,2153,N,nominal,2.0NRT,288.58,0.66,N
38.83792,63.8214,311.25,0.44,0.39,2025-09-03,2153,N,nominal,2.0NRT,288.86,1.25,N
38.60343,64.75636,300.26,0.48,0.4,2025-09-03,2153,N,nominal,2.0NRT,290.05,1.16,N
38.05552,67.29237,306.96,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,290.07,0.9,N
38.05671,67.26709,305.54,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,291.17,19.16,N
38.05564,67.27193,301.25,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,290.8,19.16,N
38.0526,67.26569,367,0.43,0.46,2025-09-03,2153,N,high,2.0NRT,334.26,19.16,N
38.05152,67.27056,320.1,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,295.07,19.16,N
38.0537,67.26078,317.33,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,293.71,12.3,N
38.04849,67.26428,356.62,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,299.23,12.51,N
38.04958,67.25941,309.83,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,291.81,4.68,N
38.04741,67.26914,311.55,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,291.59,12.51,N
38.02436,67.31284,304.18,0.43,0.46,2025-09-03,2153,N,nominal,2.0NRT,289.86,0.84,N
38.20642,64.74109,301.2,0.49,0.4,2025-09-03,2155,N,nominal,2.0NRT,289.47,0.6,N
38.24815,64.44205,298.44,0.48,0.4,2025-09-03,2155,N,nominal,2.0NRT,288.22,0.37,N
38.16802,64.57686,299.96,0.48,0.4,2025-09-03,2155,N,nominal,2.0NRT,287.95,0.52,N
38.0554,64.88634,303.17,0.5,0.41,2025-09-03,2155,N,nominal,2.0NRT,290.31,0.88,N
38.05487,64.88509,300.87,0.5,0.41,2025-09-03,2155,N,nominal,2.0NRT,289.8,0.86,N
37.96395,65.00568,298.52,0.51,0.41,2025-09-03,2155,N,nominal,2.0NRT,288.1,0.93,N
37.51609,66.41367,304.61,0.4,0.44,2025-09-03,2155,N,nominal,2.0NRT,293.91,1.14,N
38.40577,61.47532,308.31,0.39,0.36,2025-09-03,2155,N,nominal,2.0NRT,288.25,1.35,N
