latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
38.05579,67.26541,342.13,0.39,0.59,2025-09-09,0741,N,nominal,2.0NRT,314.53,6.15,D
37.12078,62.36439,336.36,0.73,0.76,2025-09-09,0741,N,low,2.0NRT,307.65,3.51,D
19.52718,71.3034,367,0.52,0.67,2025-09-09,0917,N,high,2.0NRT,291.92,14.15,D
19.52671,71.29828,331.1,0.52,0.67,2025-09-09,0917,N,nominal,2.0NRT,291.16,7.65,D
19.53107,71.30328,340.22,0.52,0.67,2025-09-09,0917,N,nominal,2.0NRT,291.71,12.79,D
19.53063,71.29815,350.69,0.52,0.67,2025-09-09,0917,N,nominal,2.0NRT,291.24,11.02,D
21.10646,72.64856,330.89,0.66,0.73,2025-09-09,0917,N,nominal,2.0NRT,292.47,9.84,D
21.1067,72.64496,338.88,0.66,0.73,2025-09-09,0917,N,nominal,2.0NRT,293.03,11.38,D
24.60671,54.15045,333.19,0.48,0.4,2025-09-09,0920,N,nominal,2.0NRT,303.5,2.22,D
25.35078,54.4873,336.88,0.46,0.39,2025-09-09,0920,N,nominal,2.0NRT,303.33,2.56,D
36.27298,58.957,350.91,0.47,0.4,2025-09-09,0922,N,nominal,2.0NRT,319.45,12.54,D
37.03169,62.42032,341.5,0.47,0.48,2025-09-09,0922,N,low,2.0NRT,315.15,9.84,D
38.04934,67.26936,367,0.45,0.63,2025-09-09,0922,N,high,2.0NRT,349.23,82.6,D
38.04957,67.27464,339.66,0.45,0.63,2025-09-09,0922,N,nominal,2.0NRT,311.46,63.39,D
38.05519,67.26871,343.67,0.45,0.63,2025-09-09,0922,N,nominal,2.0NRT,312.7,82.6,D
37.79627,62.55515,340.42,0.49,0.49,2025-09-09,0922,N,low,2.0NRT,313.4,9.02,D
37.7973,62.5536,344.87,0.49,0.49,2025-09-09,0922,N,nominal,2.0NRT,315.3,9.46,D
36.94455,54.88978,343.3,0.38,0.36,2025-09-09,0922,N,nominal,2.0NRT,306.88,4.13,D
37.77093,60.81724,349.24,0.4,0.44,2025-09-09,0922,N,nominal,2.0NRT,316.1,10.41,D
37.77048,60.81268,346.95,0.4,0.44,2025-09-09,0922,N,nominal,2.0NRT,315.46,9.51,D
37.77457,60.81205,346.89,0.4,0.44,2025-09-09,0922,N,nominal,2.0NRT,316.61,8.96,D
37.77412,60.80749,343.72,0.4,0.44,2025-09-09,0922,N,low,2.0NRT,314.52,8.96,D
38.15202,65.60086,338.61,0.36,0.58,2025-09-09,0922,N,low,2.0NRT,311.92,2.52,D
37.17365,55.15486,346.07,0.39,0.36,2025-09-09,0922,N,nominal,2.0NRT,308.5,4.97,D
37.29084,55.33068,334.78,0.39,0.36,2025-09-09,0922,N,nominal,2.0NRT,304.19,1.25,D
38.60009,64.76235,342.42,0.33,0.55,2025-09-09,0922,N,nominal,2.0NRT,311.6,1.88,D
38.60124,64.75726,337.29,0.33,0.55,2025-09-09,0922,N,low,2.0NRT,311.47,3.93,D
38.60147,64.76115,357.97,0.33,0.55,2025-09-09,0922,N,low,2.0NRT,312.95,3.93,D
38.66524,57.08303,335.84,0.43,0.38,2025-09-09,0924,N,low,2.0NRT,308.97,1.91,D
38.85348,54.23222,344.42,0.38,0.36,2025-09-09,0924,N,nominal,2.0NRT,313.17,6.94,D
39.26616,56.19673,331.72,0.41,0.37,2025-09-09,0924,N,low,2.0NRT,306.06,1.56,D
39.03956,54.25249,350.27,0.38,0.36,2025-09-09,0924,N,nominal,2.0NRT,314.27,3.06,D
39.04285,54.25168,343.91,0.38,0.36,2025-09-09,0924,N,low,2.0NRT,314.65,2.77,D
17.63151,77.90834,329.32,0.52,0.5,2025-09-09,0735,N,nominal,2.0NRT,288.81,4.79,D
